Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,label
2/29/2016,2016,2,29,0,9,2016-09,50.2,52.2,44.2,48.8,500,48.8,-0.020080322,43.94428571,45.0948,undefined
3/1/2016,2016,3,1,1,9,2016-09,53,56.6,45,53.7,100,53.7,0.100409869,44.88,45.2648,undefined
3/2/2016,2016,3,2,2,9,2016-09,53.4,54.3,45.3,50.6,700,50.6,-0.057728161,45.68,45.3368,undefined
3/3/2016,2016,3,3,3,9,2016-09,51.6,51.6,50.8,51.4,0,51.4,0.015810337,46.48,45.3448,undefined
3/4/2016,2016,3,4,4,9,2016-09,53,54.2,47.6,47.6,100,47.6,-0.073930018,46.85142857,45.3368,undefined
3/7/2016,2016,3,7,0,10,2016-10,54.2,54.2,47.6,50,300,50,0.050420202,47.45142857,45.4248,undefined
3/8/2016,2016,3,8,1,10,2016-10,53.6,54.1,51.4,54,0,54,0.08,48.02285714,45.6004,undefined
3/9/2016,2016,3,9,2,10,2016-10,53.6,53.6,49.4,53.6,0,53.6,-0.007407436,48.72285714,45.7164,undefined
3/10/2016,2016,3,10,3,10,2016-10,53.4,53.4,53.2,53.2,0,53.2,-0.007462644,49.27142857,45.8044,undefined
3/11/2016,2016,3,11,4,10,2016-10,53.6,53.6,53.4,53.4,0,53.4,0.003759413,49.97142857,45.9164,undefined
3/14/2016,2016,3,14,0,11,2016-11,53.4,53.4,53,53.3,100,53.3,-0.001872702,50.69285714,46.0864,undefined
3/15/2016,2016,3,15,1,11,2016-11,49.26,49.26,49.26,49.26,0,49.26,-0.075797392,51.06857143,46.1596,undefined
3/16/2016,2016,3,16,2,11,2016-11,49.26,49.26,49.26,49.26,0,49.26,0,51.28,46.1928,undefined
3/17/2016,2016,3,17,3,11,2016-11,53.4,53.4,53.4,53.4,0,53.4,0.084043917,51.53714286,46.2564,undefined
3/18/2016,2016,3,18,4,11,2016-11,53.4,53.4,53.4,53.4,0,53.4,0,51.86571429,46.3524,undefined
3/21/2016,2016,3,21,0,12,2016-12,53.1,54,53.1,54,200,54,0.011235926,51.88714286,46.4564,undefined
3/22/2016,2016,3,22,1,12,2016-12,54,54,47.6,47.6,100,47.6,-0.118518547,51.67285714,46.4524,undefined
3/23/2016,2016,3,23,2,12,2016-12,53.6,54.2,53.6,54.2,100,54.2,0.138655515,51.87285714,46.5756,undefined
3/24/2016,2016,3,24,3,12,2016-12,52.76,56,48.6,52.2,600,52.2,-0.036900368,52.20142857,46.6588,undefined
3/28/2016,2016,3,28,0,13,2016-13,52,52,48.8,48.8,0,48.8,-0.065134128,52.11571429,46.6988,undefined
3/29/2016,2016,3,29,1,13,2016-13,53.6,55,51.4,51.4,0,51.4,0.053278736,51.93,46.8668,undefined
3/30/2016,2016,3,30,2,13,2016-13,48.6,54.6,46.4,53.2,0,53.2,0.035019439,51.90142857,47.0908,undefined
3/31/2016,2016,3,31,3,13,2016-13,51,51,46,46,100,46,-0.135338358,51.38714286,47.2028,undefined
4/1/2016,2016,4,1,4,13,2016-13,46,49.7,46,46.2,0,46.2,0.004347843,50.87285714,47.3068,undefined
4/4/2016,2016,4,4,0,14,2016-14,49.6,49.6,47.6,47.6,0,47.6,0.03030298,50.46571429,47.4708,undefined
4/5/2016,2016,4,5,1,14,2016-14,44.4,46.6,42.6,45,200,45,-0.054621818,50.16142857,47.5828,undefined
4/6/2016,2016,4,6,2,14,2016-14,46.4,47,46.4,47,0,47,0.044444444,50,47.6028,undefined
4/7/2016,2016,4,7,3,14,2016-14,46.6,47,46.6,47,0,47,0,49.54285714,47.5388,undefined
4/8/2016,2016,4,8,4,14,2016-14,46.2,46.52,43,43.6,100,43.6,-0.072340458,48.84285714,47.4988,undefined
4/11/2016,2016,4,11,0,15,2016-15,43.8,45.8,42.4,45.8,400,45.8,0.050458735,48.25714286,47.5948,undefined
4/12/2016,2016,4,12,1,15,2016-15,43.5,43.5,42.6,43,100,43,-0.061135356,47.92857143,47.5428,undefined
4/13/2016,2016,4,13,2,15,2016-15,43,45.2,43,44.2,0,44.2,0.027906994,47.21428571,47.5708,undefined
4/14/2016,2016,4,14,3,15,2016-15,43.2,43.2,39,39.1,500,39.1,-0.115384665,46.27857143,47.4968,undefined
4/15/2016,2016,4,15,4,15,2016-15,47,47,40,40.1,200,40.1,0.025575449,45.65714286,47.3628,undefined
4/18/2016,2016,4,18,0,16,2016-16,42,42,40,40.2,0,40.2,0.002493823,44.85714286,47.2588,undefined
4/19/2016,2016,4,19,1,16,2016-16,42,43.7,41.6,41.8,100,41.8,0.039800956,44.04285714,47.1948,undefined
4/20/2016,2016,4,20,2,16,2016-16,42,42.84,40,40.8,100,40.8,-0.023923445,43.67142857,47.2028,undefined
4/21/2016,2016,4,21,3,16,2016-16,44,44,42.02,42.02,0,42.02,0.029901991,43.37285714,47.2312,undefined
4/22/2016,2016,4,22,4,16,2016-16,43,43,40,40.2,300,40.2,-0.0433127,42.84428571,47.2472,undefined
4/25/2016,2016,4,25,0,17,2016-17,41,41.42,41,41,0,41,0.019900478,42.55857143,47.2632,undefined
4/26/2016,2016,4,26,1,17,2016-17,41,41,41,41,0,41,0,42.13,47.2352,undefined
4/27/2016,2016,4,27,2,17,2016-17,40.2,40.2,40.2,40.2,0,40.2,-0.019512177,41.64428571,47.2072,undefined
4/28/2016,2016,4,28,3,17,2016-17,43.86,43.86,40.6,42.6,0,42.6,0.059701434,41.57285714,47.1392,undefined
4/29/2016,2016,4,29,4,17,2016-17,43.44,43.5,43.44,43.5,0,43.5,0.021126797,41.40857143,47.1332,undefined
5/2/2016,2016,5,2,0,18,2016-18,43.4,43.4,40.2,40.4,100,40.4,-0.071264333,41.22285714,47.0308,undefined
5/3/2016,2016,5,3,1,18,2016-18,40.2,42.2,40.2,40.4,200,40.4,0,40.95142857,46.9668,undefined
5/4/2016,2016,5,4,2,18,2016-18,41.6,42.78,37.5,42.1,100,42.1,0.042079131,41.16571429,46.9448,undefined
5/5/2016,2016,5,5,3,18,2016-18,42.1,42.1,42.1,42.1,0,42.1,0,41.30857143,46.9068,undefined
5/6/2016,2016,5,6,4,18,2016-18,42.1,42.1,42.1,42.1,0,42.1,0,41.44428571,46.8228,undefined
5/9/2016,2016,5,9,0,19,2016-19,41.6,42.6,37.4,42.6,0,42.6,0.011876485,41.50142857,46.6788,undefined
5/10/2016,2016,5,10,1,19,2016-19,39,39,39,39,0,39,-0.084507009,41.37285714,46.4828,undefined
5/11/2016,2016,5,11,2,19,2016-19,41.28,41.28,41.28,41.28,0,41.28,0.058461507,41.32,46.2344,undefined
5/12/2016,2016,5,12,3,19,2016-19,41.6,41.6,41,41,0,41,-0.006782916,41.37714286,46.0424,undefined
5/13/2016,2016,5,13,4,19,2016-19,41,41,41,41,0,41,0,41.37714286,45.8344,undefined
5/16/2016,2016,5,16,0,20,2016-20,37.84,40.4,37.8,37.8,200,37.8,-0.078048799,41.14857143,45.6384,undefined
5/17/2016,2016,5,17,1,20,2016-20,37.4,37.4,33.8,33.8,300,33.8,-0.105820108,40.69142857,45.3144,undefined
5/18/2016,2016,5,18,2,20,2016-20,34.2,40,33.6,36.8,1100,36.8,0.088757398,40.27714286,44.9704,undefined
5/19/2016,2016,5,19,3,20,2016-20,34.06,36,34.06,36,0,36,-0.02173911,39.74142857,44.6184,undefined
5/20/2016,2016,5,20,4,20,2016-20,36,36,36,36,0,36,0,39.42714286,44.2744,undefined
5/23/2016,2016,5,23,0,21,2016-21,36,36,36,36,0,36,0,39.11285714,43.9264,undefined
5/24/2016,2016,5,24,1,21,2016-21,36,36,36,36,0,36,0,38.67714286,43.5804,undefined
5/25/2016,2016,5,25,2,21,2016-21,35,35,35,35,0,35,-0.027777778,38.17,43.2952,undefined
5/26/2016,2016,5,26,3,21,2016-21,36,36,36,36,0,36,0.028571429,37.73428571,43.03,undefined
5/27/2016,2016,5,27,4,21,2016-21,36,36,36,36,0,36,0,37.26285714,42.682,undefined
5/31/2016,2016,5,31,1,22,2016-22,36,36,36,36,0,36,0,37.04857143,42.334,undefined
6/1/2016,2016,6,1,2,22,2016-22,33.6,35.8,33.2,35.28,0,35.28,-0.020000034,36.62,41.9596,undefined
6/2/2016,2016,6,2,3,22,2016-22,37,37,34.8,34.8,0,34.8,-0.01360543,36.17714286,41.7036,undefined
6/3/2016,2016,6,3,4,22,2016-22,33.6,34.56,33.4,34.56,0,34.56,-0.00689649,35.71714286,41.3108,undefined
6/6/2016,2016,6,6,0,23,2016-23,36,36,31,31,400,31,-0.103009295,35.23142857,40.8868,undefined
6/7/2016,2016,6,7,1,23,2016-23,34,34,31,31,300,31,0,35.03142857,40.5308,undefined
6/8/2016,2016,6,8,2,23,2016-23,32.4,35.4,31.2,34.96,0,34.96,0.127741906,34.9,40.202,undefined
6/9/2016,2016,6,9,3,23,2016-23,34.96,34.96,34.96,34.96,0,34.96,0,34.82571429,39.8372,undefined
6/10/2016,2016,6,10,4,23,2016-23,33.2,33.2,33.2,33.2,0,33.2,-0.050343203,34.62571429,39.5812,undefined
6/13/2016,2016,6,13,0,24,2016-24,33.2,33.2,33.2,33.2,0,33.2,0,34.42571429,39.3212,undefined
6/14/2016,2016,6,14,1,24,2016-24,35.4,35.4,30.2,30.2,100,30.2,-0.090361444,34.01142857,38.9732,undefined
6/15/2016,2016,6,15,2,24,2016-24,30.2,30.4,30.2,30.2,0,30.2,0,33.66857143,38.6772,undefined
6/16/2016,2016,6,16,3,24,2016-24,25.5,28.4,25.5,28.4,100,28.4,-0.059602685,33.12571429,38.3052,undefined
6/17/2016,2016,6,17,4,24,2016-24,28.4,28.6,28,28.6,100,28.6,0.00704228,32.59714286,37.9372,undefined
6/20/2016,2016,6,20,0,25,2016-25,28,33.62,28,28.2,1200,28.2,-0.013986,32.04,37.6292,undefined
6/21/2016,2016,6,21,1,25,2016-25,28.6,29,28.4,29,100,29,0.028368767,31.59142857,37.2932,undefined
6/22/2016,2016,6,22,2,25,2016-25,28.34,28.34,28,28,0,28,-0.034482759,31.10571429,36.9932,undefined
6/23/2016,2016,6,23,3,25,2016-25,28,28,25.2,25.2,100,25.2,-0.099999973,30.43714286,36.6132,undefined
6/24/2016,2016,6,24,4,25,2016-25,24.2,25,21,24.4,900,24.4,-0.031746076,29.96571429,36.3192,undefined
6/27/2016,2016,6,27,0,26,2016-26,20.6,22.6,20.6,22.2,100,22.2,-0.090163889,29.33714286,35.9612,undefined
6/28/2016,2016,6,28,1,26,2016-26,26.8,45.6,24.4,29.6,21600,29.6,0.333333305,28.95428571,35.7492,undefined
